day,local cap,cloud cap,seed,sla_breaches,sla_breaches_as_submitted,cloud_hours,local_hours,drained_hours,mean_wait_s,p95_wait_s,jobs_reprioritised,overload_decisions,accepted_breach_cycles,events,exposing_events,exposing_high_events,ttl_exposing_mean_s,ttl_exposing_p95_s,ttl_exposing_max_s,ttl_exposing_high_mean_s,ttl_all_mean_s,ttl_all_p95_s,ttp_exposing_mean_s,ttp_exposing_p95_s,ttp_all_mean_s,exposing_ever_decayed,exposing_promoted,decayed_events,promoted_events,harmless_kept_events
rock burst,local 12,cloud 200,404,2255,2255,138.0,297.8,38.87,4134.0,22969.8,0,32,0,3001,63,0,57.9,175.2,329.6,,60.3,190.4,14669.3,31451.8,15217.5,0,0,0,0,0
rock burst,local 16,cloud 0,101,25767,25767,0.0,434.7,48.08,22685.9,86312.2,0,3552,0,2986,57,0,4740.8,17086.0,17663.1,,4490.6,17066.2,57184.7,86472.3,65241.1,0,0,0,0,0
rock burst,local 16,cloud 0,202,28058,28058,0.0,446.2,48.25,23157.2,86413.5,0,3865,0,3086,75,0,2910.7,16247.2,16800.9,,4374.9,16631.6,68419.7,86703.1,67001.1,0,0,0,0,0
rock burst,local 16,cloud 0,303,27230,27230,0.0,450.8,48.1,23205.5,86386.6,0,3839,0,3103,76,1,3504.5,17235.4,17607.4,7801.4,4291.5,17221.4,58194.5,86634.0,66816.1,0,0,0,0,0
rock burst,local 16,cloud 0,404,25743,25743,0.0,439.8,47.97,22798.3,86328.5,0,3595,0,3001,63,0,3922.7,16780.2,16948.3,,4326.1,16807.3,58621.7,86514.1,65503.3,0,0,0,0,0
rock burst,local 16,cloud 20,101,10241,10241,75.5,360.4,47.52,7906.7,36155.2,0,645,0,2986,57,0,182.6,1604.7,3821.7,,505.4,3835.2,24560.3,60821,27564.5,0,0,0,0,0
rock burst,local 16,cloud 20,202,10278,10278,80.4,368.2,47.86,7574.4,34837.1,0,633,0,3086,75,0,249.9,1939.3,3564.4,,406.0,3395.9,29581.9,80492.2,26500.7,0,0,0,0,0
rock burst,local 16,cloud 20,303,10030,10030,85.3,368.2,44.09,6676.7,28334.5,0,647,0,3103,76,1,328.8,3357.0,3865.9,2431.4,403.9,3366.5,20913.1,63457.5,23223.3,0,0,0,0,0
rock burst,local 16,cloud 20,404,10252,10252,78.7,363.2,45.8,7302.9,29084.9,0,656,0,3001,63,0,269.1,2000.1,3756.0,,420.6,3383.5,22551.7,56411.8,25401.8,0,0,0,0,0
rock burst,local 16,cloud 60,101,6276,6276,85.6,350.3,37.48,4629.5,23642.2,0,192,0,2986,57,0,58.7,136.6,644.7,,130.5,1002.2,14917.4,24641,16896.3,0,0,0,0,0
