jitter,day,intent,seed,sla_breaches,sla_breaches_as_submitted,cloud_hours,local_hours,drained_hours,mean_wait_s,p95_wait_s,jobs_reprioritised,overload_decisions,accepted_breach_cycles,events,exposing_events,exposing_high_events,ttl_exposing_mean_s,ttl_exposing_p95_s,ttl_exposing_max_s,ttl_exposing_high_mean_s,ttl_all_mean_s,ttl_all_p95_s,ttp_exposing_mean_s,ttp_exposing_p95_s,ttp_all_mean_s,exposing_ever_decayed,exposing_promoted,decayed_events,promoted_events,harmless_kept_events,moderate.covered_share,moderate.false_share,moderate.mean_closed_share,moderate.peak_closed_share,moderate.complete_p50_s,moderate.complete_p95_s,moderate.never_complete,moderate wide.covered_share,moderate wide.false_share,moderate wide.mean_closed_share,moderate wide.peak_closed_share,moderate wide.complete_p50_s,moderate wide.complete_p95_s,moderate wide.never_complete,high.covered_share,high.false_share,high.mean_closed_share,high.peak_closed_share,high.complete_p50_s,high.complete_p95_s,high.never_complete,high wide.covered_share,high wide.false_share,high wide.mean_closed_share,high wide.peak_closed_share,high wide.complete_p50_s,high wide.complete_p95_s,high wide.never_complete
jitter 20 ms,earthquake,decay,303,19970,25561,335.7,411.2,48.43,20806.1,86592.9,37731,391,172,5216,105,2,175.4,1354.5,1622.8,385.2,185.2,1406.5,15281.7,86333.4,45880.0,40,0,4830,0,321,0.8069495970895445,0.42581064579392647,0.2982352998139716,1.0000000000000036,0,956.928,329,0.9857735114705017,0.7448909327288034,0.820009762000112,1.000000000000014,0,21.361,8,0.898906791581376,0.7865579637834527,0.05935487567235076,0.9351773045989429,0,1282.13,13,0.9940568785338244,0.9788367070335862,0.6619873402862138,1.0000000000000049,0,382.569,0
jitter 20 ms,earthquake,decay,404,22409,27138,359.8,405.9,47.95,19862.6,86505.4,39760,464,130,5401,151,4,265.5,1604.7,1979.4,612.6,218.4,1731.2,37394.8,86512.6,47327.4,63,0,5016,0,297,0.7889759883752167,0.4654796668866506,0.3382211299237474,1,0,893.972,325,0.9876176029671512,0.7413287886363393,0.8748667386362473,1.00000000000002,0,19.409,3,0.5498289431243296,0.835002254163342,0.054221600929801446,0.714209428191338,0,1353.947,18,0.888437949709989,0.9795117573841027,0.70557818156418,0.9614566408956491,0,55.317,0
jitter 50 ms,workday,off,101,30,30,53.3,278.2,24.05,512.1,3832.7,0,0,0,2242,58,0,52.2,178.0,248.6,,48.3,135.0,1514.4,4691.0,1826.0,0,0,0,0,0,0.36149275823386257,0.7555135156529206,0.1509058128271659,0.5252267246443463,121.716,1588.527,670,0.9113232936122321,0.8782999909774076,0.7642634379359073,0.9816141512738423,0,784.124,29,0.028476268297125,0.999485891567691,0.0183283855525222,0.05597221383869432,,,18,0.6841015354867074,0.9995961421406406,0.5605158389061243,0.8686479716941076,0,1622.664,2
jitter 50 ms,workday,off,202,16,16,50.3,277.7,24.0,364.7,2272.7,0,2,0,2165,54,0,44.7,129.5,136.2,,47.0,136.0,1268.6,2961.2,1255.2,0,0,0,0,0,0.37613610401749265,0.7449757991813342,0.13671677240947142,0.36559041832521855,214.06,1677.363,680,0.9111595847141544,0.8863010714605615,0.7428416507149751,0.9521581587112583,0,699.788,25,0.22477377264964343,0.9969441586087252,0.01825677425172271,0.056037010482991374,39.397,1575.929,8,0.908478330680671,0.999586455888147,0.5452578802468286,0.7978071187945376,0,1290.206,0
jitter 50 ms,workday,off,303,9,9,51.3,276.5,24.01,1136.2,8084.0,0,0,0,2206,70,0,42.0,126.0,142.7,,47.3,140.5,4024.1,8719.1,4074.1,0,0,0,0,0,0.4170169008231662,0.7166211957453005,0.17774843595958556,0.7510126566855841,181.838,1621.36,659,0.925625356985806,0.8554316571018123,0.7733596969346217,0.9898533983345329,0,659.736,44,0.046169282072633516,0.9994208242856892,0.018501336857508276,0.04751662662397592,0,0,10,0.776680244377407,0.9996770188601194,0.5581172269683211,0.8445530765786439,0,41.835,2
jitter 50 ms,workday,off,404,10,10,57.0,277.0,24.0,549.5,4193.0,0,0,0,2212,55,0,45.5,125.5,199.2,,50.2,135.5,2065.4,5020.4,1943.0,0,0,0,0,0,0.3282307275116867,0.796628653093383,0.13971691623797597,0.4119208768586914,215.858,1562.311,648,0.9083152325314037,0.8939304512078807,0.741319453838155,0.9638932189974531,0,643.487,27,0,1,0.0179519126364963,0.043704631611754224,,,17,0.7753904530501794,0.9996156638969389,0.5489928674831209,0.8175612267092368,0,1596.41,1
jitter 50 ms,workday,decay,101,730,4677,44.4,278.1,24.03,1268.5,8414.4,13103,0,28,2242,58,0,37.7,69.1,142.6,,38.6,78.4,1384.6,8990.9,3000.3,31,0,1872,0,343,0.39452538597249726,0.7096397412575554,0.13867526408857075,0.5110381905860105,145.153,1601.067,658,0.9120236249930724,0.8731508201747653,0.7338032786082223,0.9784245746000229,0,806.663,29,0,1,0.015350952027331874,0.04709873120522982,,,18,0.8132220930948011,0.9994875159102534,0.5250789942303855,0.8420753334053714,0,271.753,2
jitter 50 ms,workday,decay,202,537,4184,39.0,277.9,24.0,968.6,6560.1,12556,0,19,2165,54,0,36.1,68.1,99.5,,38.8,78.1,1636.1,7793.3,2364.3,35,0,1846,0,300,0.43122922162625427,0.7042003042647336,0.13513524397398408,0.41918740981319014,220.297,1644.755,660,0.9177028342479924,0.8827992737129989,0.7258216870430845,0.954905917082453,0,671.522,30,0.008885033518237656,0.999860519929154,0.015810883215464266,0.04396654256206345,36.181,1575.929,9,0.9709836513156844,0.9995390996396034,0.5228945190092985,0.7808048519996527,0,144.064,0
jitter 50 ms,workday,decay,303,726,4323,43.6,279.5,24.27,1856.7,12972.2,12597,0,37,2206,70,0,33.9,51.0,87.9,,37.6,76.2,2530.9,12331.5,4345.7,42,0,1826,0,352,0.47283801050494345,0.6685875137644215,0.17233084184723169,0.7401431891937706,244.098,1663.535,577,0.931953395582192,0.8509690969231875,0.7553310829664032,0.9979941302577715,0,599.228,30,0.08987594451141095,0.9987164733705647,0.016251704463182654,0.040304367813352684,74.518,74.518,10,0.8541516025305844,0.9996327038584473,0.5397329425849545,0.8195018606117341,0,654.799,0
jitter 50 ms,workday,decay,404,695,4429,45.2,276.6,24.0,1406.9,10370.0,12896,0,45,2212,55,0,36.8,94.2,143.1,,39.5,83.3,2245.6,10949.8,3238.5,31,0,1881,0,307,0.35760967381412323,0.7658116194766101,0.13219147128606706,0.4461478890209143,266.4,1598.018,627,0.912326503711651,0.8914720180181618,0.7277263243034203,0.9531706313464667,0,552.356,29,0.047701701737800146,0.9991536458481961,0.01533695624579296,0.04610918149020526,127.42,127.42,16,0.8093814541807034,0.9995876413529498,0.5341159876832992,0.8087773008852619,0,1596.41,0
