day,local cap,holding,seed,sla_breaches,sla_breaches_as_submitted,cloud_hours,local_hours,drained_hours,mean_wait_s,p95_wait_s,jobs_reprioritised,overload_decisions,accepted_breach_cycles,events,exposing_events,exposing_high_events,ttl_exposing_mean_s,ttl_exposing_p95_s,ttl_exposing_max_s,ttl_exposing_high_mean_s,ttl_all_mean_s,ttl_all_p95_s,ttp_exposing_mean_s,ttp_exposing_p95_s,ttp_all_mean_s,exposing_ever_decayed,exposing_promoted,decayed_events,promoted_events,harmless_kept_events
rock burst,local 12,reference,404,5881,5881,128.1,307.8,48.0,7226.9,38602.9,0,189,0,3001,63,0,69.8,177.7,576.0,,124.6,903.8,24118.8,67286.8,26431.4,0,0,0,0,0
rock burst,local 12,cloud window 0,101,7275,7275,117.3,314.6,48.08,10064.8,76925.2,0,221,0,2986,57,0,63.9,158.1,704.7,,148.7,1079.4,36344.7,86350.4,37031.7,0,0,0,0,0
rock burst,local 12,cloud window 0,202,7096,7096,122.8,321.0,48.25,10633.5,85396.9,0,204,0,3086,75,0,107.7,659.3,1344.4,,132.9,986.4,45672.3,86462.9,39090.8,0,0,0,0,0
rock burst,local 12,cloud window 0,303,6562,6562,139.1,312.1,48.1,8090.7,50179.3,0,198,0,3103,76,1,99.1,700.9,1051.4,1051.4,136.0,940.0,26280.2,86580.6,29630.8,0,0,0,0,0
rock burst,local 12,cloud window 0,404,6367,6367,120.0,315.5,47.97,9401.9,66397.9,0,189,0,3001,63,0,75.3,177.7,576.0,,128.5,903.8,30869.1,86145.3,34465.4,0,0,0,0,0
rock burst,local 12,cloud window 15 min,101,6529,6529,165.7,278.0,24.0,1523.3,8737.3,0,208,0,2986,57,0,50.8,106.0,689.7,,137.7,1070.3,5007.4,9825.8,5235.4,0,0,0,0,0
rock burst,local 12,cloud window 15 min,202,6024,6024,181.8,279.5,24.01,904.7,5070.9,0,200,0,3086,75,0,96.9,614.3,1314.4,,118.8,945.2,2603.5,5814.2,2967.2,0,0,0,0,0
rock burst,local 12,cloud window 15 min,303,5867,5867,195.0,280.4,24.03,1052.7,6337.5,0,190,0,3103,76,1,88.6,655.9,1021.4,1021.4,121.3,905.4,3102.4,6622.9,3520.0,0,0,0,0,0
rock burst,local 12,cloud window 15 min,404,5728,5728,176.9,280.7,24.0,1114.7,7014.5,0,189,0,3001,63,0,61.0,147.7,576.0,,118.1,903.8,3546.5,7745.1,3715.7,0,0,0,0,0
rock burst,local 12,cloud window 30 min,101,6507,6507,206.5,277.5,24.0,408.3,2764.8,0,208,0,2986,57,0,47.9,121.0,689.7,,133.3,1067.3,494.7,2501.7,1082.9,0,0,0,0,0
rock burst,local 12,cloud window 30 min,202,6023,6023,224.8,279.5,24.01,329.8,1756.2,0,200,0,3086,75,0,95.7,614.3,1314.4,,114.8,945.2,606.9,3399.4,839.1,0,0,0,0,0
rock burst,local 12,cloud window 30 min,303,5898,5898,231.6,280.0,24.01,327.9,1572.1,0,190,0,3103,76,1,85.2,670.9,1036.4,1036.4,117.5,905.4,699.9,3194.1,858.8,0,0,0,0,0
rock burst,local 12,cloud window 30 min,404,5726,5726,226.0,279.8,24.0,374.6,2324.0,0,189,0,3001,63,0,56.2,130.2,576.0,,114.0,903.8,638.8,2233.3,1013.9,0,0,0,0,0
rock burst,local 12,cloud window 60 min,101,6433,6433,262.0,277.0,24.0,350.2,2565.8,0,207,0,2986,57,0,43.2,106.0,659.7,,127.9,1049.4,337.4,1811.7,886.0,0,0,0,0,0
