cloud cap,intent,seed,sla_breaches,sla_breaches_as_submitted,cloud_hours,local_hours,drained_hours,mean_wait_s,p95_wait_s,jobs_reprioritised,overload_decisions,accepted_breach_cycles,events,exposing_events,exposing_high_events,ttl_exposing_mean_s,ttl_exposing_p95_s,ttl_exposing_max_s,ttl_exposing_high_mean_s,ttl_all_mean_s,ttl_all_p95_s,ttp_exposing_mean_s,ttp_exposing_p95_s,ttp_all_mean_s,exposing_ever_decayed,exposing_promoted,decayed_events,promoted_events,harmless_kept_events
cloud 60,"decay, final",101,718,1650,61.0,28.8,10.98,3042.8,21089.3,4534,27,0,688,11,0,60.7,388.8,388.8,,63.5,357.3,2155.3,15469.6,5697.0,2,0,591,0,77
cloud 60,"decay, final",202,1600,2400,53.4,32.7,15.73,5849.2,38971.5,3778,43,0,708,44,1,96.0,434.4,460.3,29.0,94.5,435.3,936.7,2209.2,10689.6,4,0,421,0,243
cloud 60,"decay, final",303,995,1827,53.6,29.7,12.09,3666.2,25512.4,4507,31,0,685,9,0,64.2,359.7,359.7,,79.0,376.8,197.5,629.7,7133.5,0,0,615,0,57
cloud 60,"decay, final",404,421,957,61.3,29.8,10.73,2759.9,20296.0,3735,24,0,701,43,0,43.2,123.9,559.5,,61.6,331.4,1927.2,17568.9,5295.0,4,0,468,0,189
cloud 60,"decay, final",505,989,2094,60.3,32.6,15.14,5541.2,37102.5,4750,36,0,721,6,0,95.0,417.6,417.6,,76.6,388.1,270.0,717.6,10944.9,0,0,616,0,96
cloud 60,"decay, final",606,641,1410,62.2,29.9,11.39,3184.1,23173.2,4252,24,0,690,16,1,68.6,374.8,374.8,29.9,58.2,326.8,1836.8,22497.2,6286.7,4,0,578,0,94
cloud 60,"decay, restored exempt",101,1367,1807,60.8,29.0,7.88,2047.6,13535.6,5406,42,32,688,11,0,71.6,388.8,388.8,,76.0,377.7,1860.7,12634.6,3783.7,2,0,630,0,38
cloud 60,"decay, restored exempt",202,1790,2106,53.0,33.1,11.03,3317.6,24152.4,4282,43,50,708,44,1,97.0,434.4,460.3,29.0,96.1,435.3,1338.6,6724.2,5619.4,4,0,433,0,233
cloud 60,"decay, restored exempt",303,1435,1826,53.6,29.7,6.48,1731.4,8282.4,5414,32,64,685,9,0,67.5,359.7,359.7,,83.9,383.6,1019.2,6319.9,3402.4,1,0,639,0,37
cloud 60,"decay, restored exempt",404,651,966,61.3,29.8,5.49,1500.1,9744.2,4120,27,47,701,43,0,50.5,123.9,814.5,,64.6,339.7,873.4,1046.2,2703.1,3,0,471,0,187
