intent,knowledge,seed,sla_breaches,sla_breaches_as_submitted,cloud_hours,local_hours,drained_hours,mean_wait_s,p95_wait_s,jobs_reprioritised,overload_decisions,accepted_breach_cycles,events,exposing_events,exposing_high_events,ttl_exposing_mean_s,ttl_exposing_p95_s,ttl_exposing_max_s,ttl_exposing_high_mean_s,ttl_all_mean_s,ttl_all_p95_s,ttp_exposing_mean_s,ttp_exposing_p95_s,ttp_all_mean_s,exposing_ever_decayed,exposing_promoted,decayed_events,promoted_events,harmless_kept_events
"both, exempt",estimate,505,3043,2374,76.9,19.5,2.08,629.1,2278.4,5448,66,31,721,6,0,110.0,462.6,462.6,,95.1,434.9,350.0,859.0,983.5,0,2,637,140,72
"both, exempt",estimate,606,1762,1739,82.6,19.5,2.0,690.5,3273.8,4401,46,28,690,16,1,83.6,434.8,434.8,29.9,73.1,385.3,316.1,1316.8,1181.2,4,7,591,75,78
"both, exempt",truth,101,313,1546,61.1,28.6,5.12,1484.7,6295.0,5937,19,44,688,11,0,34.8,148.8,148.8,,443.7,2327.8,131.6,350.5,2520.4,0,1,667,2,10
"both, exempt",truth,202,891,2451,35.1,36.4,15.25,5988.0,37224.4,6576,25,50,708,44,1,93.6,278.7,377.1,29.0,1957.6,7819.3,439.0,719.1,10634.2,0,2,580,4,84
"both, exempt",truth,303,440,2017,36.2,31.6,9.79,3252.8,19178.1,6663,14,55,685,9,0,44.2,254.7,254.7,,1032.1,3033.4,110.9,359.7,5448.4,0,0,666,1,10
"both, exempt",truth,404,473,1993,36.6,33.9,6.7,2381.9,11472.9,6587,12,67,701,43,0,29.2,45.8,314.5,,782.4,2860.9,94.8,288.9,3992.9,0,0,630,1,28
"both, exempt",truth,505,540,2216,36.0,35.4,12.17,4310.8,26208.9,7025,20,51,721,6,0,67.5,267.6,267.6,,1274.5,4835.7,192.5,417.6,7706.6,0,0,693,2,22
"both, exempt",truth,606,191,1922,35.9,33.1,9.95,3054.1,17698.2,6238,17,39,690,16,1,80.8,239.8,239.8,44.9,1141.4,3127.1,238.3,417.2,5108.7,0,1,664,1,10
"both, clock restarts",estimate,101,1795,2210,77.4,18.6,2.0,685.0,3013.8,5158,61,0,688,11,0,92.1,403.8,403.8,,106.6,547.2,716.6,3080.5,1141.5,3,6,613,107,55
"both, clock restarts",estimate,202,2174,2775,71.8,17.5,2.0,689.8,2901.2,5530,88,0,708,44,1,197.9,872.1,925.3,29.0,207.3,888.3,576.0,2033.7,1024.9,6,25,364,265,300
"both, clock restarts",estimate,303,1165,2028,68.0,20.0,2.68,567.3,2039.4,4902,40,0,685,9,0,74.2,374.7,374.7,,88.0,398.6,334.2,1639.9,956.6,1,3,615,89,56
"both, clock restarts",estimate,404,1218,1609,84.9,19.9,2.0,642.2,3012.8,4241,51,0,701,43,0,50.1,147.4,829.5,,87.1,465.2,356.4,1578.9,1073.8,5,19,459,140,197
"both, clock restarts",estimate,505,2044,2374,76.9,19.3,2.08,630.0,2262.2,5435,61,0,721,6,0,112.5,462.6,462.6,,93.9,433.1,340.0,852.6,989.9,0,1,634,139,75
"both, clock restarts",estimate,606,1241,1719,83.4,19.5,2.0,693.4,3311.9,4419,43,0,690,16,1,84.6,434.8,434.8,29.9,72.0,385.3,602.1,3165.0,1191.8,5,7,588,89,82
"both, clock restarts",truth,101,4,1551,69.3,20.9,2.54,1122.1,4372.2,5913,19,0,688,11,0,34.8,148.8,148.8,,304.7,2115.9,130.3,350.5,1980.3,0,1,663,2,14
"both, clock restarts",truth,202,608,2306,51.5,20.3,2.84,1959.4,7111.2,6497,25,0,708,44,1,94.3,263.7,374.4,29.0,871.9,5483.1,396.7,638.9,3078.5,0,2,573,3,91
"both, clock restarts",truth,303,3,2080,36.2,31.6,14.39,5252.8,33714.0,6646,10,0,685,9,0,42.5,239.7,239.7,,1479.5,3060.9,105.9,329.7,9048.6,0,0,664,1,12
"both, clock restarts",truth,404,33,2035,43.5,27.4,7.82,4168.8,22883.1,6635,11,0,701,43,0,28.9,45.8,299.5,,1053.4,2977.6,89.6,271.3,7470.8,0,0,628,1,30
"both, clock restarts",truth,505,15,2951,36.0,35.4,17.93,7850.4,47088.9,7067,17,0,721,6,0,67.5,267.6,267.6,,1837.8,4552.1,195.0,402.6,14644.0,0,0,693,2,22
"both, clock restarts",truth,606,56,1993,47.8,21.8,3.29,1925.2,8396.0,6253,20,0,690,16,1,78.9,239.8,239.8,29.9,645.1,3140.2,226.1,432.2,3346.9,0,1,664,1,10
