day,dial,seed,sla_breaches,sla_breaches_as_submitted,cloud_hours,local_hours,drained_hours,mean_wait_s,p95_wait_s,jobs_reprioritised,overload_decisions,accepted_breach_cycles,events,exposing_events,exposing_high_events,ttl_exposing_mean_s,ttl_exposing_p95_s,ttl_exposing_max_s,ttl_exposing_high_mean_s,ttl_all_mean_s,ttl_all_p95_s,ttp_exposing_mean_s,ttp_exposing_p95_s,ttp_all_mean_s,exposing_ever_decayed,exposing_promoted,decayed_events,promoted_events,harmless_kept_events
workday,local floor 12,303,5,5,51.1,287.8,24.0,998.7,6891.5,0,0,0,2206,70,0,42.0,141.0,164.2,,46.2,140.5,3685.1,9545.7,3567.6,0,0,0,0,0
workday,local floor 12,404,8,8,57.5,287.8,24.0,480.2,3376.7,0,2,0,2212,55,0,43.4,128.1,214.2,,49.9,147.0,1745.5,4338.6,1691.3,0,0,0,0,0
rock burst,reference,101,6780,6780,125.9,306.0,48.08,7784.6,46445.2,0,210,0,2986,57,0,60.8,151.0,704.7,,144.6,1079.4,27012.4,71126,28586.0,0,0,0,0,0
rock burst,reference,202,6682,6682,134.4,309.3,48.25,7616.4,48307.1,0,204,0,3086,75,0,104.7,659.3,1344.4,,128.9,986.4,32281.3,86545.1,27863.4,0,0,0,0,0
rock burst,reference,303,6010,6010,145.8,305.9,46.65,6325.1,29144.9,0,195,0,3103,76,1,95.3,685.9,1051.4,1051.4,131.9,940.0,20947.3,72652.5,23134.7,0,0,0,0,0
rock burst,reference,404,5881,5881,128.1,307.8,48.0,7226.9,38602.9,0,189,0,3001,63,0,69.8,177.7,576.0,,124.6,903.8,24118.8,67286.8,26431.4,0,0,0,0,0
rock burst,safety 1.0,101,7934,7934,108.3,315.9,48.22,12648.1,86213.9,0,212,0,2986,57,0,70.5,188.1,704.7,,154.4,1079.4,43832.1,86432.8,46767.4,0,0,0,0,0
rock burst,safety 1.0,202,7784,7784,113.2,321.6,48.08,12452.8,86265.5,0,205,0,3086,75,0,112.9,689.3,1359.4,,139.8,987.1,52658.9,86583.0,45906.3,0,0,0,0,0
rock burst,safety 1.0,303,7058,7058,128.6,314.1,48.24,10307.8,85413.0,0,201,0,3103,76,1,108.3,700.9,1051.4,1051.4,142.9,944.3,34657.3,86596.4,37756.6,0,0,0,0,0
rock burst,safety 1.0,404,6578,6578,118.8,308.9,48.0,10210.2,84352.9,0,194,0,3001,63,0,87.4,234.6,591.0,,136.3,916.4,34159.6,86244.3,37414.1,0,0,0,0,0
rock burst,safety 1.3,101,6531,6531,149.6,288.5,28.47,3103.5,17549.8,0,210,0,2986,57,0,55.3,128.1,704.7,,139.6,1079.4,10467.6,18224.8,11138.6,0,0,0,0,0
rock burst,safety 1.3,202,6123,6123,159.6,290.3,29.97,2839.1,15653.3,0,203,0,3086,75,0,99.9,644.3,1329.4,,123.1,972.1,10775.5,16400.0,10172.9,0,0,0,0,0
rock burst,safety 1.3,303,5980,5980,167.7,288.1,26.16,2687.6,15483.8,0,192,0,3103,76,1,91.4,685.9,1036.4,1036.4,126.0,929.3,8361.7,16797.1,9550.6,0,0,0,0,0
rock burst,safety 1.3,404,5673,5673,152.2,290.7,27.82,3017.4,16980.2,0,188,0,3001,63,0,62.2,145.2,561.0,,118.3,888.8,10377.9,18114.1,10745.2,0,0,0,0,0
rock burst,safety 1.5,101,6531,6531,182.1,285.5,24.0,1259.1,7749.4,0,210,0,2986,57,0,49.5,98.1,704.7,,135.4,1075.1,3406.6,9335.3,4258.6,0,0,0,0,0
rock burst,safety 1.5,202,6068,6068,194.2,284.9,24.01,1005.1,6704.4,0,202,0,3086,75,0,95.1,629.3,1329.4,,117.6,957.1,2688.9,7396.0,3341.0,0,0,0,0,0
rock burst,safety 1.5,303,5926,5926,203.3,285.0,24.01,981.5,6729.5,0,190,0,3103,76,1,85.8,670.9,1036.4,1036.4,120.3,920.4,2678.7,7641.8,3265.1,0,0,0,0,0
rock burst,safety 1.5,404,5624,5624,186.8,286.4,24.0,1147.6,7551.1,0,188,0,3001,63,0,56.2,130.2,546.0,,113.0,885.1,3534.3,8030.1,3856.7,0,0,0,0,0
rock burst,horizon 5 min,101,6595,6595,174.0,258.7,26.38,1111.9,5812.9,0,224,0,2986,57,0,78.7,251.2,704.7,,160.3,1079.4,2609.5,6593.6,3609.7,0,0,0,0,0
rock burst,horizon 5 min,202,6236,6236,175.2,263.3,27.78,1768.8,8236.1,0,224,0,3086,75,0,119.3,674.3,1344.4,,145.7,987.1,5691.9,10216.0,6081.8,0,0,0,0,0
rock burst,horizon 5 min,303,6225,6225,183.6,270.4,30.35,1330.0,8638.3,0,228,0,3103,76,1,121.4,700.9,1051.4,1051.4,148.8,944.3,4094.8,13987.5,4469.4,0,0,0,0,0
rock burst,horizon 5 min,404,5823,5823,163.5,266.4,30.37,2515.0,12202.0,0,214,0,3001,63,0,92.4,234.2,591.0,,140.4,915.1,8126.2,14678.9,8811.3,0,0,0,0,0
rock burst,horizon 30 min,101,6533,6533,143.8,292.4,32.75,3673.5,20213.2,0,210,0,2986,57,0,56.6,137.0,704.7,,140.7,1079.4,12148.7,20517.3,13263.9,0,0,0,0,0
