day,local coldstart,cloud coldstart,seed,sla_breaches,sla_breaches_as_submitted,cloud_hours,local_hours,drained_hours,mean_wait_s,p95_wait_s,jobs_reprioritised,overload_decisions,accepted_breach_cycles,events,exposing_events,exposing_high_events,ttl_exposing_mean_s,ttl_exposing_p95_s,ttl_exposing_max_s,ttl_exposing_high_mean_s,ttl_all_mean_s,ttl_all_p95_s,ttp_exposing_mean_s,ttp_exposing_p95_s,ttp_all_mean_s,exposing_ever_decayed,exposing_promoted,decayed_events,promoted_events,harmless_kept_events
earthquake,local 0 s,cloud 3 min,202,24797,24797,349.8,397.0,48.31,17038.6,86397.5,0,722,0,5249,137,2,469.4,2966.2,3174.8,392.5,424.8,3017.2,60510.9,86531.8,61748.0,0,0,0,0,0
earthquake,local 0 s,cloud 3 min,303,24985,24985,357.5,391.5,48.2,16728.2,86376.8,0,761,0,5216,105,2,407.3,3032.8,3214.5,460.2,484.7,3054.0,56462.4,86514.3,60285.8,0,0,0,0,0
earthquake,local 0 s,cloud 3 min,404,25920,25920,367.1,401.1,48.1,17131.3,86397.7,0,756,0,5401,151,4,545.1,3254.3,3352.8,1021.4,457.2,3082.0,64088.6,86627.9,61407.1,0,0,0,0,0
earthquake,local 0 s,cloud 10 min,101,24769,24769,349.8,385.0,48.18,15508.4,86382.2,0,1165,0,5167,97,1,167.1,775.5,2976.8,29.9,419.0,2864.2,54377.8,86517.6,56239.4,0,0,0,0,0
earthquake,local 0 s,cloud 10 min,202,26048,26048,350.0,395.1,48.27,16684.1,86404.5,0,1127,0,5249,137,2,478.9,2981.2,3189.8,400.0,435.5,3032.9,59280.7,86558.0,60370.5,0,0,0,0,0
earthquake,local 0 s,cloud 10 min,303,26881,26881,360.2,385.8,48.2,15821.4,86384.5,0,1258,0,5216,105,2,431.4,3092.8,3274.5,497.7,501.0,3102.6,54280.1,86529.3,56798.5,0,0,0,0,0
earthquake,local 0 s,cloud 10 min,404,28782,28782,376.1,390.5,48.11,15827.6,86384.1,0,1256,0,5401,151,4,639.0,3689.3,3787.8,1317.6,560.2,3518.7,60383.2,86586.2,56230.4,0,0,0,0,0
earthquake,local 1 min,cloud 1 min,101,22018,22018,352.6,384.2,48.18,16036.5,86346.4,0,686,0,5167,97,1,140.0,610.5,2811.8,29.9,374.3,2687.4,55934.9,86522.5,58382.9,0,0,0,0,0
earthquake,local 1 min,cloud 1 min,202,23171,23171,359.1,388.0,48.32,16546.1,86371.0,0,711,0,5249,137,2,439.5,2876.2,3069.8,220.0,402.1,2912.3,59321.5,86517.6,60015.2,0,0,0,0,0
earthquake,local 1 min,cloud 1 min,303,23949,23949,367.2,384.5,48.2,16281.0,86363.8,0,748,0,5216,105,2,381.3,2912.8,3124.5,325.2,456.9,2953.0,55611.4,86522.1,58693.0,0,0,0,0,0
earthquake,local 1 min,cloud 1 min,404,24320,24320,377.6,392.8,48.11,16625.0,86370.2,0,745,0,5401,151,4,520.9,3149.3,3247.8,908.9,432.1,2977.0,62674.4,86593.2,59638.4,0,0,0,0,0
earthquake,local 1 min,cloud 3 min,101,23046,23046,348.6,387.2,48.12,16257.6,86360.6,0,698,0,5167,97,1,153.0,730.5,2916.8,29.9,398.8,2810.0,56267.7,86529.9,59106.1,0,0,0,0,0
earthquake,local 1 min,cloud 3 min,202,24997,24997,351.2,395.3,48.31,17032.0,86401.6,0,722,0,5249,137,2,470.0,2966.2,3174.8,392.5,425.0,3017.2,60484.3,86543.9,61721.9,0,0,0,0,0
earthquake,local 1 min,cloud 3 min,303,25567,25567,358.8,390.5,48.2,16724.1,86391.1,0,761,0,5216,105,2,407.1,3032.8,3214.5,460.2,484.7,3054.0,56457.1,86559.3,60270.4,0,0,0,0,0
earthquake,local 1 min,cloud 3 min,404,26284,26284,369.2,398.9,48.11,17129.8,86409.8,0,756,0,5401,151,4,545.2,3254.3,3352.8,1021.4,457.2,3082.0,64092.2,86642.9,61401.4,0,0,0,0,0
earthquake,local 1 min,cloud 10 min,101,25076,25076,350.7,384.5,48.11,15507.4,86390.3,0,1167,0,5167,97,1,167.1,775.5,2976.8,29.9,419.2,2864.2,54389.9,86572.1,56235.8,0,0,0,0,0
earthquake,local 1 min,cloud 10 min,202,26870,26870,350.9,394.0,48.31,16689.4,86420.8,0,1123,0,5249,137,2,495.7,3041.2,3264.8,452.5,448.4,3098.9,59173.2,86590.3,60331.4,0,0,0,0,0
earthquake,local 1 min,cloud 10 min,303,27099,27099,359.6,386.4,48.2,15850.0,86384.5,0,1258,0,5216,105,2,432.7,3092.8,3274.5,497.7,501.1,3102.6,54386.7,86530.2,56907.7,0,0,0,0,0
earthquake,local 1 min,cloud 10 min,404,29018,29018,375.4,391.1,48.12,15956.3,86391.7,0,1253,0,5401,151,4,639.0,3689.3,3787.8,1317.6,560.1,3518.7,60701.0,86674.2,56699.6,0,0,0,0,0
earthquake,local 5 min,cloud 1 min,101,22656,22656,368.9,368.7,48.17,16024.8,86328.7,0,686,0,5167,97,1,140.3,610.5,2811.8,29.9,374.5,2687.4,55824.5,86678.1,58337.8,0,0,0,0,0
earthquake,local 5 min,cloud 1 min,202,23515,23515,374.9,373.8,48.39,16526.3,86357.5,0,711,0,5249,137,2,438.8,2876.2,3069.8,220.0,402.1,2912.3,59313.7,86632.3,59944.4,0,0,0,0,0
earthquake,local 5 min,cloud 1 min,303,24799,24799,379.5,370.4,48.48,16265.7,86385.9,0,748,0,5216,105,2,381.7,2912.8,3124.5,325.2,457.2,2953.0,55563.8,86642.7,58635.6,0,0,0,0,0
earthquake,local 5 min,cloud 1 min,404,24502,24502,393.6,377.3,48.21,16601.7,86345.0,0,745,0,5401,151,4,520.9,3149.3,3247.8,908.9,432.5,2977.0,62575.7,86808.0,59550.4,0,0,0,0,0
earthquake,local 5 min,cloud 3 min,101,24056,24056,361.9,376.3,48.15,16270.9,86404.2,0,698,0,5167,97,1,153.3,730.5,2916.8,29.9,399.1,2810.0,56264.6,86723.6,59155.0,0,0,0,0,0
earthquake,local 5 min,cloud 3 min,202,25498,25498,364.2,384.3,48.25,17025.7,86445.1,0,722,0,5249,137,2,469.0,2966.2,3174.8,392.5,424.9,3017.2,60530.8,86707.2,61698.1,0,0,0,0,0
earthquake,local 5 min,cloud 3 min,303,26656,26656,369.0,380.9,48.48,16724.2,86451.7,0,761,0,5216,105,2,407.4,3032.8,3214.5,460.2,485.1,3054.0,56464.7,86730.3,60269.2,0,0,0,0,0
earthquake,local 5 min,cloud 3 min,404,26929,26929,383.0,387.2,48.21,17122.8,86478.1,0,756,0,5401,151,4,545.2,3254.3,3352.8,1021.4,457.6,3082.0,64023.1,86742.7,61371.6,0,0,0,0,0
earthquake,local 5 min,cloud 10 min,101,26724,26724,355.8,381.3,48.17,15517.1,86480.2,0,1187,0,5167,97,1,167.2,775.5,2976.8,29.9,419.9,2864.2,54409.4,86707.1,56268.4,0,0,0,0,0
earthquake,local 5 min,cloud 10 min,202,27812,27812,355.6,389.8,48.34,16756.1,86550.9,0,1122,0,5249,137,2,476.5,2966.2,3189.8,392.5,433.6,3021.1,59566.7,86785.9,60641.6,0,0,0,0,0
earthquake,local 5 min,cloud 10 min,303,28528,28528,363.6,380.9,48.2,15870.2,86440.8,0,1265,0,5216,105,2,432.5,3092.8,3274.5,497.7,501.7,3102.6,54595.7,86696.8,56974.6,0,0,0,0,0
earthquake,local 5 min,cloud 10 min,404,30277,30277,384.1,384.6,48.21,15827.4,86454.8,0,1277,0,5401,151,4,638.0,3685.5,3787.8,1313.9,560.4,3518.7,60371.9,86758.0,56228.6,0,0,0,0,0
