notice,intent,seed,sla_breaches,sla_breaches_as_submitted,cloud_hours,local_hours,drained_hours,mean_wait_s,p95_wait_s,jobs_reprioritised,overload_decisions,accepted_breach_cycles,events,exposing_events,exposing_high_events,ttl_exposing_mean_s,ttl_exposing_p95_s,ttl_exposing_max_s,ttl_exposing_high_mean_s,ttl_all_mean_s,ttl_all_p95_s,ttp_exposing_mean_s,ttp_exposing_p95_s,ttp_all_mean_s,exposing_ever_decayed,exposing_promoted,decayed_events,promoted_events,harmless_kept_events,encounter.decisions,encounter.in_time_share,encounter.never,encounter.unwinnable,encounter.latency_p50_s,encounter.slack_p50_s,encounter warned.decisions,encounter warned.in_time_share,encounter warned.never,encounter warned.unwinnable,encounter warned.latency_p50_s,encounter warned.slack_p50_s,encounter reroute.decisions,encounter reroute.in_time_share,encounter reroute.never,encounter reroute.unwinnable,encounter reroute.latency_p50_s,encounter reroute.slack_p50_s,the day's own.decisions,the day's own.in_time_share,the day's own.never,the day's own.unwinnable,the day's own.latency_p50_s,the day's own.slack_p50_s
300 s,off,101,30,30,59.4,279.2,24.05,362.2,2317.2,0,0,0,2282,98,13,49.2,166.7,248.6,39.1,48.5,138.2,1125.5,3090.9,1265.5,0,0,0,0,0,40,1,0,0,39.03,229.958651201,40,0.75,0,0,43.494,229.733092582,40,0.75,0,9,39.03,183.9,753,0.9455511288180611,0,14,36.186,745.807253466
300 s,off,202,13,13,52.8,278.6,24.0,419.5,2694.5,0,2,0,2205,94,4,43.9,118.8,151.2,43.8,47.4,135.1,1302.9,3446.7,1456.1,0,0,0,0,0,40,1,0,0,37.473,230.751454149,40,0.8,0,0,44.779,229.019159049,40,0.825,0,6,37.473,177.2,696,0.9511494252873564,0,14,35.152,763.659688508
300 s,off,303,5,5,53.2,278.0,24.01,1213.9,8547.1,0,0,0,2246,110,4,44.1,126.0,178.9,31.2,47.4,139.8,4600.0,8985.9,4367.1,0,0,0,0,0,40,1,0,0,36.099,233.620573295,40,0.625,1,0,55.81,233.901693768,40,0.65,0,12,36.099,188.7,751,0.9241011984021305,0,21,38.117,724.584160936
300 s,off,404,10,10,58.5,278.6,24.0,664.1,5023.3,0,0,0,2252,95,8,45.7,123.8,214.2,32.3,50.7,134.8,2449.8,6110.0,2367.0,0,0,0,0,0,40,1,0,0,37.454,232.525766818,40,0.725,0,0,50.83,225.9854635,40,0.7,0,11,37.454,143.8,741,0.921727395411606,0,26,37.561,792.719532906
300 s,decay,101,1555,4232,48.6,280.9,24.06,1188.7,9204.5,11961,0,116,2282,98,13,42.8,102.8,202.6,36.8,41.7,95.4,426.1,1067.6,2659.2,10,0,1601,0,593,40,1,0,0,38.215,231.510824265,40,0.85,1,0,41.095,229.413381195,40,0.75,0,9,38.215,192.8,753,0.9468791500664011,0,14,34.806,759.783189567
300 s,decay,202,1268,3530,42.9,279.9,24.0,878.5,6376.9,11150,0,99,2205,94,4,38.0,90.0,125.7,40.0,40.3,87.3,485.0,760.8,2017.4,4,0,1553,0,562,40,1,0,0,31.174,236.67084999,40,0.9,0,0,40.981,229.614340039,40,0.85,0,6,31.174,187.3,696,0.9525862068965517,0,14,34.111,764.033124391
300 s,decay,303,1543,4013,47.3,281.3,24.14,1745.2,15696.2,11762,0,129,2246,110,4,37.0,69.1,102.9,38.7,40.4,88.5,1066.2,1441.5,3742.7,8,0,1575,0,569,40,1,0,0,34.417,235.482754706,40,0.775,1,0,43.43,233.746837399,40,0.675,0,12,34.417,187,751,0.9254327563249002,0,21,35.45,728.324198319
300 s,decay,404,1641,3790,49.6,279.3,24.0,1228.3,9075.0,11779,0,133,2252,95,8,38.8,79.8,93.8,34.1,41.9,97.7,956.5,2005.4,2811.1,8,0,1598,0,567,40,1,0,0,36.258,232.600666289,40,0.85,0,0,43.255,228.683402652,40,0.7,0,11,36.258,174.9,741,0.9298245614035088,0,26,34.658,792.719532906
300 s,"decay, oracle",101,2683,13208,40.4,285.0,24.48,1995.8,8320.8,25671,0,242,2282,98,13,34.5,68.0,128.9,26.4,706.3,5876.2,118.7,313.1,2955.2,0,0,2094,0,90,40,1,0,0,27.15,242.234317787,40,0.95,1,0,43.396,226.604979732,40,0.75,0,9,27.15,192.8,753,0.952191235059761,0,14,30.716,645.771879918
300 s,"decay, oracle",202,2415,12067,33.8,282.3,24.24,1787.5,7512.2,24908,0,211,2205,94,4,31.3,53.9,75.0,36.3,614.2,5495.1,115.2,223.8,2668.3,0,0,2023,0,88,40,1,0,0,27.854,242.124056877,40,1,0,0,39.599,230.222886461,40,0.85,0,6,27.854,188.7,696,0.9525862068965517,0,14,31.111,650.683923977
300 s,"decay, oracle",303,3027,12238,38.8,285.6,24.48,2484.4,10337.4,24927,0,295,2246,110,4,35.0,59.2,127.1,27.5,897.0,8355.4,133.0,352.3,3660.4,0,0,2042,0,94,40,1,0,0,34.417,235.482754706,40,0.95,1,0,40.965,229.035441583,40,0.675,0,12,34.417,182.8,751,0.929427430093209,0,21,32.953,642.011350665
300 s,"decay, oracle",404,2810,12411,40.1,281.3,24.11,2222.9,9449.0,25121,0,229,2252,95,8,31.0,68.1,124.2,36.0,808.2,7098.6,125.3,260.0,3286.7,0,0,2059,0,98,40,1,0,0,29.015,240.331989657,40,1,0,0,29.738,240.172581832,40,0.7,0,11,29.015,174.9,741,0.941970310391363,0,26,28.826,710.11950753
